SUPPORTID;SUPPORT;CITY;LOCATION_TYPE;LOCATION_NAME;PLACEMENT_TYPE;PLACEMENT_NAME;DAILY_TRAFFIC;SIZE;NUMBER_OF_PIECES;NUMBER_OF_FACES;COST;SPECIAL_COST;PRINT_SUPPORT;DIGITAL_SUPPORT
230;LED LIGHT BOX;BUCURESTI;MALL;AFI-COTROCENI;INDOOR;FOOD COURT 1 x 2 m;60000;2;1;10;50;60;YES;YES
231;FLAGS - 2 FACES;BUCURESTI;MALL;AFI-COTROCENI;INDOOR;SUNSET BLVD CORRIDOR 3 x 4 m;60000;12;6;12;50;60;YES;YES
232;FLAGS - 2 FACES;BUCURESTI;MALL;AFI-COTROCENI;INDOOR;OXFORD STREET CORRIDOR 2 x 3 m;60000;6;6;12;50;60;YES;YES
233;FLAGS - 2 FACES;BUCURESTI;MALL;AFI-COTROCENI;INDOOR;STARBUCKS 3 x 6 m;60000;18;3;6;50;60;YES;YES
234;AUCHAN FLAG COLUMN - 1 FACE;BUCURESTI;MALL;AFI-COTROCENI;INDOOR;AUCHAN 1 x 3 m;60000;3;6;6;50;60;YES;YES
235;AUCHAN BALUSTRADE;BUCURESTI;MALL;AFI-COTROCENI;OUTDOOR;IN FRONT OF AUCHAN;60000;80;2;4;50;60;YES;YES
236;AUCHAN ESCALATOR;BUCURESTI;MALL;AFI-COTROCENI;INDOOR;AUCHAN;60000;60;1;2;50;60;YES;YES
237;CITY LIGHT BM - 2 faces;BUCURESTI;MALL;AFI-COTROCENI;INDOOR;CORIDOR;60000;1.1x1.6;6;12;50;60;YES;YES
238;STAND-UP COLUMN - 4 FACES;BUCURESTI;MALL;AFI-COTROCENI;INDOOR;AUCHAN/CORIDOR;60000;8;2;8;50;60;YES;YES
239;TRAVELATOR AUCHAN;BUCURESTI;MALL;AFI-COTROCENI;INDOOR;PARKING TO AUCHAN;60000;75;1;5;50;60;YES;YES
240;TABLE BRANDING;BUCURESTI;MALL;AFI-COTROCENI;INDOOR;FOOD COURT;60000;1;25;25;50;60;YES;YES
241;UNDERGROUND MESH;BUCURESTI;MALL;AFI-COTROCENI;INDOOR;UNDERGROUND PARKING TO AUCHAN 8 x 1.2 m;60000;9,6;1;1;50;60;YES;YES
242;UNDERGROUND SLIDING DOORS;BUCURESTI;MALL;AFI-COTROCENI;INDOOR;UNDERGROUND PARKING TO AUCHAN;60000;15;1;8;50;60;YES;YES
243;UNDERGROUND SLIDING DOORS;BUCURESTI;MALL;AFI-COTROCENI;INDOOR;UNDERGROUND PARKING TO VIA CONDOTTI;60000;15;1;8;50;60;YES;YES
244;UNDERGROUND SLIDING DOORS;BUCURESTI;MALL;AFI-COTROCENI;INDOOR;UNDERGROUND PARKING TO FOOD COURT;60000;15;1;8;50;60;YES;YES
245;UNDERGROUND SLIDING DOORS;BUCURESTI;MALL;AFI-COTROCENI;INDOOR;UNDERGROUND VIP PARKING TO CHAMPS ELYSEES;60000;15;1;8;50;60;YES;YES
246;UNDERGROUND CORRIDOR ESCALATOR;BUCURESTI;MALL;AFI-COTROCENI;INDOOR;UNDERGROUND PARKING ESCALATOR;60000;60;1;6;50;60;YES;
